session,hand_id,small_blind,big_blind,num_players,actions_preflop,actions_flop,actions_turn,actions_river,flop,turn,river
94b,94b_46_46,50,100,6,"P3:fold, P4:raise 204, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94b,94b_47_47,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 222, P1:raise 1050, P2:fold, P6:fold",,,,,,
94b,94b_48_48,50,100,6,"P3:fold, P4:call, P5:fold, P6:raise 450, P1:fold, P2:call, P4:fold","P2:call, P6:call","P2:call, P6:raise 525, P2:fold",,9s 3s 6s,4s,
94b,94b_49_49,50,100,6,"P3:raise 210, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:raise 470, P2:fold",,,Jd 9h 5h,,
94b,94b_50_50,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:raise 405, P2:call","P2:call, P3:raise 1020, P2:call","P2:call, P3:call, P2:sm, P3:sm",8c 6s Js,9d,6h
94b,94b_51_51,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:raise 225, P2:call","P2:call, P3:call","P2:raise 100, P3:fold",9h Ks Qc,Ts,5h
94b,94b_52_52,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 250, P1:fold, P2:fold",,,,,,
94b,94b_53_53,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:raise 250, P2:fold",,,Kd 6c Th,,
94b,94b_54_54,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:fold, P1:fold, P2:fold",,,,,,
94b,94b_55_55,50,100,6,"P3:fold, P4:raise 200, P5:fold, P6:call, P1:fold, P2:call","P2:call, P4:call, P6:raise 450, P2:fold, P4:call","P4:call, P6:call","P4:call, P6:raise 1050, P4:fold",Ts 8h 9s,9c,Ac
94b,94b_56_56,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
94b,94b_57_57,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:call, P2:call","P1:call, P2:raise 100, P1:raise 300, P2:fold",,,3h 2h 2d,,
94b,94b_58_58,50,100,6,"P3:raise 225, P4:fold, P5:call, P6:fold, P1:fold, P2:fold","P3:call, P5:raise 300, P3:fold",,,5c Qd 2h,,
94b,94b_59_59,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
94b,94b_60_60,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:call, P2:raise 325, P1:call","P1:call, P2:raise 200, P1:call","P1:call, P2:call","P1:call, P2:call, P1:sm, P2:sm",8s 4c Td,Jc,Qs
94b,94b_61_61,50,100,6,"P3:fold, P4:raise 200, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:call","P2:call, P4:call","P2:raise 337, P4:fold",Qs 3s 7h,Ad,8s
94b,94b_62_62,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 244, P1:fold, P2:fold",,,,,,
94b,94b_63_63,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:raise 450, P2:fold",,,Qc Kc 8h,,
94b,94b_64_64,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 250, P1:fold, P2:raise 1350, P6:raise 2800, P2:call","P2:raise 1412, P6:call","P2:call, P6:call","P2:call, P6:call, P2:sm, P6:sm",Ac As 2c,8s,Th
94b,94b_65_65,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 200, P2:call","P1:raise 200, P2:call","P1:call, P2:call","P1:raise 400, P2:call, P1:sm, P2:sm",Ad Jc Qh,Qs,2d
94b,94b_66_66,50,100,6,"P3:fold, P4:raise 210, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94b,94b_67_67,50,100,6,"P3:raise 210, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94b,94b_68_68,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:call, P2:fold","P1:call, P5:raise 350, P1:call","P1:call, P5:raise 1000, P1:call","P1:call, P5:raise 2250, P1:call, P5:sm, P1:sm",7d 6s 2d,3s,Qh
94b,94b_69_69,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:fold, P1:fold, P2:call","P2:call, P5:raise 150, P2:fold",,,2s 6h 2h,,
94b,94b_70_70,50,100,6,"P3:fold, P4:raise 205, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:raise 275, P2:fold",,,Kh Ah Tc,,
94b,94b_71_71,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
94b,94b_72_72,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:fold, P1:fold, P2:fold",,,,,,
94b,94b_73_73,50,100,6,"P3:raise 210, P4:fold, P5:call, P6:fold, P1:fold, P2:fold","P3:call, P5:raise 570, P3:call","P3:call, P5:call","P3:call, P5:raise 3420, P3:fold",Tc Kh Ks,Kd,2d
94b,94b_74_74,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:call, P1:fold, P2:fold","P3:call, P6:call","P3:call, P6:raise 375, P3:raise 1625, P6:call","P3:call, P6:call, P3:sm, P6:sm",Ts 4h 7c,9c,4s
94b,94b_75_75,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94b,94b_76_76,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
